AF3; T7; Pz; T8; AF4; Tempo
4303.07692322;4733.20512925;4432.17948760;4107.05128178;4432.56410298;2022-01-21 11:46:45.268225
4303.20512835;4792.56410375;4373.20512849;4234.87179488;4400.25641061;2022-01-21 11:46:45.274162
4302.69230784;4826.66666792;4370.76923105;4302.30769245;4371.66666695;2022-01-21 11:46:45.281143
4300.64102578;4761.15384727;4400.89743625;4270.76923084;4403.84615420;2022-01-21 11:46:45.294110
4300.64102578;4732.94871899;4368.58974387;4303.84615399;4400.38461574;2022-01-21 11:46:45.295118
4303.07692322;4825.89743715;4368.71794900;4307.05128219;4402.30769266;2022-01-21 11:46:45.310076
4303.71794886;4826.28205254;4369.23076951;4304.35897450;4404.87179522;2022-01-21 11:46:45.312085
4302.56410271;4762.69230881;4370.64102592;4273.20512828;4401.92307727;2022-01-21 11:46:45.326025
4303.84615399;4764.23077035;4372.56410285;4135.38461518;4399.23076958;2022-01-21 11:46:45.328023
4333.07692329;4794.23077042;4402.30769266;4072.82051248;4402.94871830;2022-01-21 11:46:45.337991
4303.71794886;4762.82051394;4371.15384644;4267.05128212;4372.56410285;2022-01-21 11:46:45.340986
4302.94871809;4734.10256515;4371.66666695;4338.84615406;4371.02564131;2022-01-21 11:46:45.356966
4302.82051296;4762.17948830;4405.38461574;4142.82051262;4405.76923112;2022-01-21 11:46:45.358940
4307.17948732;4793.07692426;4405.00000035;4103.84615357;4432.82051324;2022-01-21 11:46:45.369907
4301.66666681;4794.23077042;4371.79487208;4339.23076944;4372.05128233;2022-01-21 11:46:45.377297
4303.33333348;4765.64102676;4371.53846182;4433.97435940;4372.17948746;2022-01-21 11:46:45.379316
4300.51282066;4763.33333445;4398.20512856;4366.41025669;4400.64102599;2022-01-21 11:46:45.392256
4272.30769238;4794.35897554;4366.92307720;4399.23076958;4368.58974387;2022-01-21 11:46:45.395251
4271.53846161;4791.92307811;4399.23076958;4305.00000014;4401.92307727;2022-01-21 11:46:45.411201
4274.35897443;4765.00000112;4433.71794914;4076.53846119;4438.46153888;2022-01-21 11:46:45.413228
4271.15384623;4799.35897554;4406.02564138;4142.56410236;4435.00000042;2022-01-21 11:46:45.422166
4271.79487187;4831.92307818;4400.51282086;4233.84615385;4398.97435933;2022-01-21 11:46:45.431145
4303.58974373;4798.20512939;4403.97435933;4175.25641012;4400.51282086;2022-01-21 11:46:45.445126
4299.74358989;4765.51282163;4371.92307720;4333.71794893;4368.33333362;2022-01-21 11:46:45.447108
4272.69230777;4791.92307811;4401.92307727;4368.71794900;4400.12820548;2022-01-21 11:46:45.457073
4301.53846168;4793.71794990;4433.71794914;4172.94871781;4436.15384657;2022-01-21 11:46:45.460077
4332.94871816;4764.48718060;4431.66666709;4168.58974345;4436.66666709;2022-01-21 11:46:45.470039
4304.87179501;4732.69230874;4398.58974394;4205.76923070;4404.35897471;2022-01-21 11:46:45.481045
4304.10256425;4766.28205240;4372.56410285;4201.28205122;4404.61538497;2022-01-21 11:46:45.488021
4300.51282066;4827.94871920;4368.58974387;4270.64102571;4404.87179522;2022-01-21 11:46:45.492981
4303.20512835;4797.05128324;4366.92307720;4369.23076951;4400.89743625;2022-01-21 11:46:45.510956
4301.41025655;4733.20512925;4371.41025669;4365.51282079;4400.51282086;2022-01-21 11:46:45.511935
4302.56410271;4764.61538573;4369.35897464;4307.43589758;4372.43589772;2022-01-21 11:46:45.516913
4274.23076930;4826.41025766;4370.38461567;4432.43589786;4371.02564131;2022-01-21 11:46:45.522897
4300.51282066;4798.71794990;4373.07692336;4433.07692350;4372.05128233;2022-01-21 11:46:45.531874
4300.76923091;4765.25641137;4398.46153881;4400.51282086;4398.58974394;2022-01-21 11:46:45.542852
4300.12820527;4765.00000112;4368.58974387;4405.76923112;4370.51282079;2022-01-21 11:46:45.549941
4302.43589758;4794.23077042;4398.58974394;4338.07692329;4373.07692336;2022-01-21 11:46:45.556925
4303.33333348;4796.02564221;4403.33333368;4110.12820485;4402.05128240;2022-01-21 11:46:45.564934
4305.38461553;4763.46153958;4400.51282086;4170.12820499;4399.23076958;2022-01-21 11:46:45.573913
4300.00000014;4760.25641137;4371.41025669;4400.25641061;4368.07692336;2022-01-21 11:46:45.576912
4273.33333341;4794.61538580;4398.58974394;4340.12820534;4398.46153881;2022-01-21 11:46:45.587876
4273.84615392;4799.74359093;4371.15384644;4236.28205129;4399.35897471;2022-01-21 11:46:45.594864
4300.38461553;4792.94871913;4372.56410285;4237.56410257;4401.41025676;2022-01-21 11:46:45.604868
4272.82051289;4766.02564214;4401.15384651;4201.15384609;4403.46153881;2022-01-21 11:46:45.610863
4271.15384623;4793.33333452;4402.82051317;4170.12820499;4404.23076958;2022-01-21 11:46:45.621825
4271.79487187;4792.82051401;4400.89743625;4204.87179481;4401.15384651;2022-01-21 11:46:45.627776
4300.25641040;4766.41025753;4400.00000035;4234.10256411;4372.43589772;2022-01-21 11:46:45.638705
4301.15384630;4759.61538573;4400.12820548;4272.30769238;4371.15384644;2022-01-21 11:46:45.639703
4302.05128219;4765.51282163;4372.05128233;4335.89743611;4369.74359003;2022-01-21 11:46:45.647682
4301.28205142;4825.12820638;4368.58974387;4369.35897464;4370.38461567;2022-01-21 11:46:45.659650
4302.17948732;4794.61538580;4368.84615413;4370.89743618;4369.74359003;2022-01-21 11:46:45.665669
4300.38461553;4760.25641137;4399.74359009;4367.82051310;4401.41025676;2022-01-21 11:46:45.674616
4302.30769245;4766.79487291;4371.53846182;4334.23076944;4402.05128240;2022-01-21 11:46:45.680593
4303.33333348;4767.05128317;4371.28205156;4306.92307707;4404.48717984;2022-01-21 11:46:45.690626
4301.02564117;4760.38461650;4370.12820541;4268.71794879;4405.12820548;2022-01-21 11:46:45.697606
4302.82051296;4760.64102676;4369.61538490;4299.48717963;4405.00000035;2022-01-21 11:46:45.702592
4304.74358989;4792.05128324;4366.02564131;4400.51282086;4403.20512856;2022-01-21 11:46:45.711570
4305.76923091;4825.51282177;4370.00000028;4405.00000035;4403.97435933;2022-01-21 11:46:45.721558
4299.61538476;4795.89743708;4368.58974387;4371.41025669;4399.35897471;2022-01-21 11:46:45.725534
4302.17948732;4762.56410368;4370.89743618;4369.74359003;4372.69230797;2022-01-21 11:46:45.739494
4302.43589758;4794.10256529;4399.74359009;4332.56410278;4372.43589772;2022-01-21 11:46:45.740503
4302.94871809;4797.94871913;4399.61538497;4300.64102578;4372.17948746;2022-01-21 11:46:45.752459
4274.48717956;4760.12820624;4373.07692336;4365.38461567;4372.05128233;2022-01-21 11:46:45.757446
4302.94871809;4766.28205240;4398.20512856;4371.66666695;4373.07692336;2022-01-21 11:46:45.769414
4299.61538476;4799.10256529;4398.33333368;4369.23076951;4398.20512856;2022-01-21 11:46:45.772729
4271.28205136;4763.07692419;4367.82051310;4336.79487201;4369.35897464;2022-01-21 11:46:45.778771
4272.69230777;4765.76923188;4369.10256438;4333.20512842;4369.74359003;2022-01-21 11:46:45.789684
4274.23076930;4832.43589869;4371.92307720;4273.97435905;4398.33333368;2022-01-21 11:46:45.796718
4272.17948725;4795.51282170;4399.35897471;4274.35897443;4402.30769266;2022-01-21 11:46:45.807635
4271.28205136;4732.30769335;4372.56410285;4274.23076930;4369.87179515;2022-01-21 11:46:45.812657
4299.61538476;4796.28205247;4399.10256445;4304.48717963;4371.66666695;2022-01-21 11:46:45.821599
4300.00000014;4828.46153972;4372.82051310;4332.43589765;4371.15384644;2022-01-21 11:46:45.825590
4274.48717956;4766.92307804;4399.10256445;4336.41025662;4371.92307720;2022-01-21 11:46:45.839551
4274.48717956;4766.28205240;4371.02564131;4340.00000021;4371.53846182;2022-01-21 11:46:45.844539
