AF3; T7; Pz; T8; AF4; Tempo
4271.02564110;4765.76923188;4270.00000007;4467.94871844;4368.71794900;2022-01-21 12:14:31.451066
4272.56410264;4758.97436009;4272.17948725;4497.94871851;4370.38461567;2022-01-21 12:14:31.454088
4272.94871802;4792.43589862;4274.35897443;4497.94871851;4366.28205156;2022-01-21 12:14:31.467016
4271.79487187;4792.05128324;4271.41025648;4470.89743639;4365.12820541;2022-01-21 12:14:31.475003
4270.76923084;4761.92307804;4238.97435898;4466.15384664;4366.66666695;2022-01-21 12:14:31.481976
4272.69230777;4763.33333445;4273.97435905;4497.17948774;4368.46153874;2022-01-21 12:14:31.485965
4272.82051289;4766.66666778;4306.02564117;4498.97435953;4339.61538483;2022-01-21 12:14:31.496936
4269.48717956;4761.92307804;4299.48717963;4470.51282100;4339.74358996;2022-01-21 12:14:31.502919
4299.48717963;4763.97436009;4241.66666667;4466.41025690;4338.46153867;2022-01-21 12:14:31.512894
4333.46153867;4765.51282163;4301.79487194;4497.82051338;4339.23076944;2022-01-21 12:14:31.517880
4365.51282079;4766.02564214;4335.76923098;4496.92307748;4335.25641047;2022-01-21 12:14:31.528852
4367.43589772;4761.92307804;4335.38461560;4470.89743639;4337.43589765;2022-01-21 12:14:31.531842
4365.51282079;4731.02564207;4300.25641040;4470.00000049;4332.94871816;2022-01-21 12:14:31.545806
4334.10256431;4759.23077035;4273.84615392;4464.61538511;4332.94871816;2022-01-21 12:14:31.550827
4304.35897450;4759.23077035;4272.82051289;4438.71794914;4337.56410278;2022-01-21 12:14:31.552790
4333.58974380;4759.48718060;4301.79487194;4465.51282100;4367.82051310;2022-01-21 12:14:31.563757
4303.58974373;4765.89743701;4302.43589758;4467.69230818;4367.56410285;2022-01-21 12:14:31.569741
4306.15384630;4796.66666785;4300.89743604;4465.76923126;4367.56410285;2022-01-21 12:14:31.582103
4303.07692322;4760.00000112;4369.23076951;4501.79487235;4370.38461567;2022-01-21 12:14:31.588079
4305.64102578;4731.15384720;4403.46153881;4503.97435953;4366.66666695;2022-01-21 12:14:31.598053
4302.05128219;4797.82051401;4370.51282079;4501.79487235;4367.43589772;2022-01-21 12:14:31.604036
4303.20512835;4830.38461664;4334.87179508;4499.87179543;4369.87179515;2022-01-21 12:14:31.615007
4300.76923091;4796.66666785;4369.61538490;4529.23076986;4372.82051310;2022-01-21 12:14:31.620990
4272.30769238;4794.74359093;4366.92307720;4502.43589800;4367.94871823;2022-01-21 12:14:31.635951
4272.17948725;4763.71794983;4370.64102592;4502.94871851;4365.51282079;2022-01-21 12:14:31.636993
4271.92307700;4762.05128317;4371.41025669;4502.82051338;4365.89743618;2022-01-21 12:14:31.644927
4273.20512828;4796.92307811;4339.23076944;4500.25641082;4368.33333362;2022-01-21 12:14:31.652939
4271.15384623;4791.92307811;4368.71794900;4502.69230825;4366.79487208;2022-01-21 12:14:31.662879
4273.20512828;4728.20512925;4337.69230790;4502.30769287;4368.20512849;2022-01-21 12:14:31.665870
4272.17948725;4733.97436002;4208.07692301;4466.66666716;4369.35897464;2022-01-21 12:14:31.679838
4271.53846161;4763.71794983;4203.46153840;4437.05128247;4368.84615413;2022-01-21 12:14:31.682825
4273.33333341;4727.05128310;4304.87179501;4496.92307748;4366.15384644;2022-01-21 12:14:31.695829
4271.66666674;4733.58974464;4336.53846175;4498.71794928;4366.53846182;2022-01-21 12:14:31.698090
4271.92307700;4795.89743708;4268.58974366;4466.41025690;4340.00000021;2022-01-21 12:14:31.701082
4274.35897443;4795.38461657;4238.07692308;4465.00000049;4336.66666688;2022-01-21 12:14:31.715045
4302.30769245;4765.64102676;4340.00000021;4503.84615441;4336.53846175;2022-01-21 12:14:31.719067
4332.69230790;4759.74359086;4434.74359016;4503.84615441;4335.76923098;2022-01-21 12:14:31.731188
4306.53846168;4762.17948830;4306.28205142;4464.35897485;4334.61538483;2022-01-21 12:14:31.737165
4307.17948732;4797.30769349;4207.56410250;4497.05128261;4336.41025662;2022-01-21 12:14:31.747682
4332.43589765;4764.61538573;4272.56410264;4372.17948746;4370.25641054;2022-01-21 12:14:31.752811
4338.71794893;4731.41025746;4304.87179501;4168.33333320;4371.28205156;2022-01-21 12:14:31.763200
4334.48717970;4762.30769342;4272.43589751;4238.97435898;4369.48717977;2022-01-21 12:14:31.770219
4307.17948732;4796.79487298;4240.89743590;4401.41025676;4366.79487208;2022-01-21 12:14:31.777178
4332.82051303;4765.76923188;4269.35897443;4399.61538497;4368.97435926;2022-01-21 12:14:31.783181
4303.84615399;4733.46153951;4301.02564117;4438.46153888;4338.84615406;2022-01-21 12:14:31.796112
4305.38461553;4733.33333438;4303.20512835;4536.28205191;4338.84615406;2022-01-21 12:14:31.800139
4332.82051303;4731.79487284;4266.92307700;4496.41025697;4340.25641047;2022-01-21 12:14:31.813240
4335.00000021;4732.05128310;4271.28205136;4466.41025690;4368.46153874;2022-01-21 12:14:31.816232
4299.87179501;4764.10256522;4304.74358989;4501.41025697;4370.38461567;2022-01-21 12:14:31.829240
4302.94871809;4792.56410375;4300.25641040;4468.07692357;4371.79487208;2022-01-21 12:14:31.832189
4301.53846168;4760.38461650;4301.41025655;4497.82051338;4371.53846182;2022-01-21 12:14:31.844161
4271.92307700;4762.43589855;4300.89743604;4497.30769287;4368.97435926;2022-01-21 12:14:31.851138
4270.64102571;4761.79487291;4271.28205136;4471.15384664;4371.79487208;2022-01-21 12:14:31.854130
4273.33333341;4761.79487291;4240.25641026;4468.33333382;4372.05128233;2022-01-21 12:14:31.864141
4272.69230777;4796.92307811;4268.58974366;4468.07692357;4369.61538490;2022-01-21 12:14:31.871119
4271.53846161;4795.25641144;4267.30769238;4467.82051331;4339.35897457;2022-01-21 12:14:31.881058
4273.58974366;4732.69230874;4237.82051282;4467.82051331;4366.92307720;2022-01-21 12:14:31.885047
4272.17948725;4766.79487291;4238.84615385;4464.87179536;4367.17948746;2022-01-21 12:14:31.895020
4272.17948725;4795.76923195;4268.33333341;4467.94871844;4366.53846182;2022-01-21 12:14:31.902003
4272.94871802;4732.94871899;4234.23076923;4466.79487229;4365.76923105;2022-01-21 12:14:31.912973
4272.82051289;4732.30769335;4240.64102564;4466.15384664;4365.76923105;2022-01-21 12:14:31.915964
4274.35897443;4759.23077035;4365.64102592;4498.58974415;4337.69230790;2022-01-21 12:14:31.926935
4299.48717963;4731.53846258;4366.28205156;4500.25641082;4337.56410278;2022-01-21 12:14:31.929927
4302.69230784;4728.33333438;4237.82051282;4466.66666716;4337.82051303;2022-01-21 12:14:31.946907
4306.66666681;4726.79487284;4234.74358975;4436.02564145;4338.20512842;2022-01-21 12:14:31.947880
4307.43589758;4730.89743694;4302.43589758;4463.84615434;4335.89743611;2022-01-21 12:14:31.959853
4332.82051303;4792.56410375;4299.74358989;4465.25641075;4334.74358996;2022-01-21 12:14:31.964868
4305.51282066;4792.69230888;4238.71794872;4463.84615434;4335.89743611;2022-01-21 12:14:31.979808
4334.35897457;4728.20512925;4240.51282052;4433.71794914;4334.87179508;2022-01-21 12:14:31.980793
4306.15384630;4732.30769335;4271.02564110;4435.00000042;4336.92307714;2022-01-21 12:14:31.992825
4337.05128226;4826.02564228;4241.92307693;4434.35897478;4366.15384644;2022-01-21 12:14:31.996810
4335.51282073;4793.07692426;4302.05128219;4464.48717998;4368.20512849;2022-01-21 12:14:32.002791
4336.02564124;4727.30769335;4339.48717970;4471.28205177;4339.74358996;2022-01-21 12:14:32.015756
4336.02564124;4730.76923182;4306.28205142;4469.87179536;4369.74359003;2022-01-21 12:14:32.019745
4335.51282073;4794.23077042;4235.89743590;4432.94871837;4398.07692343;2022-01-21 12:14:32.036702
4306.28205142;4764.87179599;4240.51282052;4436.66666709;4370.64102592;2022-01-21 12:14:32.036702
4274.61538469;4732.56410361;4269.23076930;4467.30769280;4340.38461560;2022-01-21 12:14:32.046673
4301.41025655;4728.84615489;4267.17948725;4465.89743639;4367.56410285;2022-01-21 12:14:32.049665
4272.17948725;4728.46153951;4237.94871795;4465.64102613;4369.23076951;2022-01-21 12:14:32.062631
4272.56410264;4760.89743701;4240.51282052;4467.05128254;4370.25641054;2022-01-21 12:14:32.065662
4271.79487187;4733.20512925;4271.53846161;4471.66666716;4370.64102592;2022-01-21 12:14:32.079622
